job_title,resume_id,source_file,normalized_score,resume_preview
Accountant,25,0857decaec1c1f99_train.png,1.0,"Results-driven Tax Accountant with 5+ years of experience in tax accounting, accounts receivable, an"
Accountant,5,0e30209bf7aa198a_train.png,0.96821773,Commercially astute CPA-certified accountant with over 15 years of experience providing high-quality
Accountant,22,645e1ac6041aa529_train.png,0.9390929,Results-driven Accountant with extensive experience in accounting systems and financial reporting. H
Accountant,29,184d6b7fe5c5dd0c_train.png,0.93168,"A results-driven Chief Accountant with 5+ years of experience in leading financial operations, strea"
Accountant,3,9c75ea3d12326bc4_train.png,0.90386736,Recent college graduate with 1 year of accounting and financial analysis experience. Skilled in fina
Accountant,27,6ddcf43a983459fd_train.png,0.90310866,"Certified Public Accountant with 9+ years of experience in ledger processes, reconciliations, and fi"
Accountant,8,1f795814d580d4c0_train.png,0.87682945,"Detail-oriented and experienced Senior Accountant with 5+ years of expertise in financial analysis, "
Accountant,28,699d461f86ffe77e_train.png,0.85659707,Financially and operationally driven accounting professional with 10+ years of demonstrated expertis
Accountant,12,159a611254b68066_train.jpg,0.78354454,"Certified Public Staff Accountant with over 8 years of experience in financial reporting, reconcilia"
Accountant,43,86660d78a7881085_train.png,0.77586293,Highly motivated and results-oriented Assistant Accountant with over 5 years of experience in operat
Accountant,31,bf3490553f3adcdf_train.png,0.7754264,"Accountant with 10+ years of experience in financial reporting, analysis, and compliance. Skilled in"
Accountant,21,606c55273e1b81ac_train.png,0.7472124,"Detail-oriented Entry-Level Accountant with 1+ year of experience in managing financial records, ens"
Accountant,20,66a6b453693b0bbb_train.png,0.7117467,"Experienced Certified Public Accountant (CPA) with a proven track record in cost reduction, revenue "
Accountant,15,398ad81329d72c20_train.png,0.71039546,With over 9 years of experience establishing best accounting practices at rapidly growing tech compa
Accountant,10,cd1dc991d53e37bf_train.png,0.6991459,"Accomplished Accounting Professional with extensive experience in fiscal operations, business admini"
Accountant,41,f790f44c31fec2a4_train.png,0.6639473,"Detail-oriented and analytical Accountant with 2+ years of experience in managing financial records,"
Accountant,24,917193d42b0f5f4d_train.png,0.6548127,"Education: Central Washington University – Lynnwood Campus, Bachelor’s Degree in Accounting, 1998, 2"
Accountant,42,fac6c23d5aafc14e_train.jpg,0.6512643,"Certified Accountant with expertise in account reconciliations, streamlining accounts, and financial"
Accountant,23,944b096a4db8270c_train.jpg,0.6063638,"Education: ENTER DEGREE NAME, College/University Name, 2010, 2015; ENTER DEGREE NAME, College/Univer"
Accountant,7,1315cc92aab2c895_train.png,0.60129887,"Education: University of Cincinnati, Bachelor’s Degree in Accounting Work Experience: Klocko, Willi"
Accountant,6,256830b717fd5ecd_train.png,0.5966808,"Experienced professional with 5+ years of expertise in managing high-volume accounts, implementing c"
Accountant,14,16c46f2968f31b16_train.png,0.5906316,"Education: Certified Public Accountant (CPA), State Board of Accountancy (License #123456), 2021-08;"
Accountant,47,a99d9a5a6d3cfa25_train.png,0.5897242,Results-driven Professional Accountant with 2 years of experience providing high-quality financial s
Accountant,11,be6df4bea7fba575_train.jpg,0.56734467,"Experienced Certified Public Staff Accountant with 8+ years of expertise in financial reporting, rec"
Accountant,4,af38786b65238e3a_train.png,0.5571527,I am an experienced accountant seeking a junior accountancy position at a retail company. I aim to l
Accountant,9,af40d98a7f50ce5b_train.png,0.54991734,Highly competitive and driven junior accounting student with a desire for excellence. Seeking opport
Accountant,16,d26d4c03d78a0d97_train.png,0.54801667,"Seeking an entry-level position in the accounting industry where my internship, summer job, and volu"
Accountant,40,fe05fa3fd90b299d_train.png,0.5372038,"Resume Accountant Education:  Work Experience: Forensic Accountant, 2007, Present, Recreated finan"
Accountant,1,9a20e96acf41e67b_train.jpg,0.4912925,"Detail-oriented and results-driven accountant with a strong background in financial reporting, tax a"
Accountant,26,7080825ba0a457aa_train.png,0.47994417,Senior Accountant with over a decade of experience establishing best accounting practices at growing
Accountant,18,f01603d45fa2f819_train.jpg,0.4653296,"Certified Public Accountant with 5+ years of experience in streamlining record procedures, resolving"
Accountant,13,ea01e65036ab5a56_train.png,0.44819334,Detail-oriented Junior Accountant with 1 year of experience providing accurate and efficient financi
Accountant,30,1c475831fe6d5478_train.jpg,0.44411528,"Experienced and analytical accountant with expertise in forensic and tax accounting, financial forec"
Accountant,17,e04cdb6061c84ef2_train.png,0.4147374,Recent college graduate with internship experience at Fortune 500 companies. Seeking to leverage exc
Accountant,19,420fb93ceb25dd39_train.png,0.41076845,Recent accounting graduate seeking to combine academic knowledge with hands-on experience to excel a
Accountant,45,aa4e4603e983f2ab_train.png,0.3,To work with a reputable organization where I can utilize my accounting knowledge and skills to cont
Advocate,51,6a4c2b80595a411e_train.png,1.0,"Education: Bachelor’s Degree, LIM College, Date Period Work Experience: Customer Advocate, Kutch LL"
Advocate,48,a3bc1a6afb3ab13e_train.png,0.8731873,Results-driven corporate lawyer with 8+ years of experience ensuring the legality of commercial tran
Advocate,62,90bf08f76f64ed05_train.png,0.81328064,Law Clerk with 4+ years of experience in reviewing administrative and legal case-related materials. 
Advocate,32,29ffd35576d36893_train.png,0.8039676,Former Vice President of the United States and a leading advocate for addressing climate change. Pas
Advocate,38,2fe4c0e26fb7a402_train.png,0.7910669,"Innovative, dedicated, and skilled young Advocate. Responsible for assisting in the preparation, fin"
Advocate,59,4e79bd9311a2c366_train.jpg,0.7829536,Productive and versatile Associate Attorney with seven years of experience in all aspects of real es
Advocate,49,9d8b7401bc1cda32_train.jpg,0.7686721,"Education: Juris Doctor, Cum Laude, Washington College of Law, 2019, Executive Editor, The Modern Am"
Advocate,63,93b7a9109e8bacf6_train.png,0.73468107,"Education: Bachelor’s in Psychology, Baylor University Work Experience: 2020-05, Present, Patient C"
Advocate,44,344ae6e62bf207da_train.png,0.71057045,Dedicated Victim Advocate with 1 year of experience providing comprehensive support and assistance t
Advocate,55,6bdbda482b614014_train.jpg,0.6952203,"Education: Juris Doctor Degree, University of Texas School of Law, Austin, GPA: 3.9, Achieved the hi"
Advocate,34,278c075d02697553(1)_train.png,0.6759822,"Education: The Catholic University of America, Columbus School of Law, Washington, DC, Juris Doctor,"
Advocate,35,41d98e76b3b35729_train.png,0.647061,Education:  Work Experience:  Projects:  Skills:  Certifications:  Languages:
Advocate,36,3b05be05b8902bb1_train.png,0.647061,Education:  Work Experience:  Projects:  Skills:  Certifications:  Languages:
Advocate,46,ba77440de8f99831_train.jpg,0.647061,Education:  Work Experience:  Projects:  Skills:  Certifications:  Languages:
Advocate,33,2ce293e14fed8ee2_train.jpg,0.6173773,Productive and versatile Associate Attorney with seven years of experience in real estate transactio
Advocate,60,fdc890308a849a93_train.png,0.6029663,Results-oriented Family Advocate with 1 year of experience providing comprehensive support to famili
Advocate,39,3bbf2f150c0573b5_train.png,0.58837986,"Experienced Senior Attorney specializing in mental health rights advocacy, with a strong background "
Advocate,54,678d88c37362f66d_train.png,0.5859492,Experienced employment lawyer with a strong background in providing legal advice and consultation to
Advocate,57,496d80a129c7573e_train.png,0.58556724,Objective and thorough attorney with 11 years of demonstrated law firm experience. Seeking an opport
Advocate,52,dbe32d4ede53dcef_train.png,0.5749024,"Goal-focused litigation attorney with 4+ years of experience. Proven expertise in trial preparation,"
Advocate,53,fb2453ba47440aa0_train.png,0.5713624,Committed senior attorney with over 8 years of experience in mental health rights advocacy. Skilled 
Advocate,37,3b5b3980f49124c2_train.png,0.53716266,Dedicated and client-focused Advocate with 2 years of experience providing legal advice and represen
